"sku","website_id","tier_price:ALL GROUPS","tier_price:General","tier_price:Wholesale","tier_price:Retailer"
"24-MB01",0,"1=30;80=25;200=20","100=10%;200=80%","1=25.00","1=30.00"
"24-MB02",0,"1=+5;25=-10",,,
"24-MB03",0,"1=+5;10=-5",,,
"24-MB04",0,,x,x,x
"24-MB05",0,,,,
"24-MB06",0,,,,
"24-MG01",0,"1=22;10=x",,,
"24-MG02",0,,,,
"24-MG03",0,,,,
"24-MG04",0,"100=99",,"100=66","100=77"
"24-MG05",0,,,,
"24-UB02",0,,,,
"24-UG01",0,"1=22;50=90%",,,
"24-UG02",0,,,,
"24-UG03",0,,"100=55",,
"24-UG04",0,,,,
"24-UG05",0,,,,
"24-UG06",0,,,,
"24-UG07",0,,,,
"24-WB01",0,"1=25.00;100=55.00;200=60.00",,"100=70.00","10=80.00;20=70.00"
"24-WB02",0,"80=80.00",,"70=90.00","60=100.00"
"24-WB03",0,,,,
"24-WB04",0,,"1=40.00",,
"24-WB05",0,"10=99",,,
